"SpeciesID","SpeciesName","EntryName","Pred","Prey","SurveySp","MainQuadOnlySpecies","PercentCoverSpecies","Comment","HandlingTime","Abb","s_ColLineage","s_Generation","s_GUID","s_Lineage"
401,"Nucella_ostrina","N_ostrina",TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,"No",,325,,
402,"Nucella_canaliculata","N_canaliculata",TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,"Nc",,325,,
403,"Balanus_glandula","Balanus",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Bg",,325,,
404,"Mytilus_trossulus","trossulus",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Mt",,325,,
405,"Mytilus_californianus","M_californianus",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Mc",,325,,
406,"Semibalanus_cariosus","Semibalanus",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Sg",,325,,
407,"Chthamalus_dalli","Chthamalus",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Cd",,325,,
408,"Pollicipes_polymerus","Pollicipes",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Pp",,325,,
409,"Not_Feeding","Not Feeding",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"NF",,325,,
-475970449,"Lottia_pelta","Lot_pelta",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Lp",,0,,
-569408628,"Lottia_asmi","asmi_(Lot)",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"La",,0,,
454995800,"Modiolus_modiolus","Modiolus",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Mm",,325,,
1944969849,"Hiatella_arctica","Hiatella",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Ha",,325,,
901937167,"Littorina_sitkana","Lit_sitkana",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Ls",,325,,
-666819482,"Lottia_digitalis","Lot_dig",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Ld",,0,,
1456169532,"Adula_californiensis","Adula",FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,"Ac",,0,,
