"","Pred","Prey","PredMin","PredMax","PreyMin","PreyMax","n"
"1","Nucella_ostrina","Mytilus_trossulus",3,23,1,35,4384
"2","Nucella_ostrina","Balanus_glandula",3,25,1,8,3267
"3","Nucella_ostrina","Chthamalus_dalli",4,20,1,3,673
"4","Nucella_ostrina","Pollicipes_polymerus",5,23,1,10,280
"5","Nucella_ostrina","Littorina_sitkana",4,19,2,7,140
"6","Nucella_ostrina","Lottia_asmi",6,18,2,13,119
"7","Nucella_ostrina","Semibalanus_cariosus",9,19,1,7,17
"8","Nucella_ostrina","Nucella_ostrina",13,18,8,16,9
"9","Nucella_ostrina","Lottia_digitalis",12,17,4,10,8
"10","Nucella_ostrina","Adula_californiensis",11,16,5,15,6
"11","Nucella_ostrina","Lottia_pelta",11,17,7,13,5
"12","Nucella_ostrina","Mytilus_californianus",11,20,4,58,5
"13","Nucella_ostrina","Modiolus_modiolus",9,12,3,7,2
"14","Nucella_ostrina","Hiatella_arctica",9,9,9,9,1
"15","Nucella_canaliculata","Mytilus_trossulus",3,26,1,36,993
"16","Nucella_canaliculata","Balanus_glandula",3,29,1,8,841
"17","Nucella_canaliculata","Pollicipes_polymerus",5,23,1,12,141
"18","Nucella_canaliculata","Chthamalus_dalli",4,17,1,2,36
"19","Nucella_canaliculata","Semibalanus_cariosus",8,22,1,10,8
"20","Nucella_canaliculata","Lottia_asmi",10,14,4,6,3
"21","Nucella_canaliculata","Mytilus_californianus",16,20,5,45,3
"22","Nucella_canaliculata","Modiolus_modiolus",12,12,10,10,1
